prompt,response
"The molecule is a carbopolycyclic compound that is (3S)-3-ethyl-6,8-dihydroxy-3,4-dihydrotetraphene-1,7,12(2H)-trione substituted at position 8 by a 3-amino-2,3,6-trideoxy-alpha-L-ribo-hexopyranosyl group. It is isolated from the culture broth of Nocardia brasiliensis and exhibits antibacterial activity against Gram-positive bacteria. It is also active against the multiple drug-resistant P388/ADR tumour cells. It has a role as a metabolite, an antimicrobial agent, an antibacterial agent and an antineoplastic agent. It is a member of phenols, an aminoglycoside, a deoxy hexoside, a carbopolycyclic compound and a member of p-quinones.",[C][C][C@@H1][C][C][=Branch1][C][=O][C][=C][Branch2][Ring2][S][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][C][=C][C][Branch2][Ring1][Ring1][O][C@H1][C][C@@H1][Branch1][C][N][C@@H1][Branch1][C][O][C@H1][Branch1][C][C][O][Ring1][=Branch2][=C][Ring1][S][C][Ring2][Ring1][Branch1][=O][C][Ring2][Ring1][S]
"The molecule is a polyketide that is monacolin L bearing an additional hydroxy substituent at position 8. It has a role as an antimicrobial agent, a fungal metabolite and an EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor. It is a secondary alcohol, a polyketide, a carbobicyclic compound, a member of 2-pyranones and a member of hexahydronaphthalenes. It derives from a monacolin L.",[C][C@H1][C][=C][C][=C][C@H1][Branch1][C][C][C@H1][Branch1][P][C][C][C@@H1][C][C@@H1][Branch1][C][O][C][C][=Branch1][C][=O][O][Ring1][Branch2][C@H1][Ring1][P][C@@H1][Branch1][C][O][C][Ring2][Ring1][=Branch1]
"The molecule is a member of the class of cortistatins that is substituted by a dimethylamino group at the 3alpha position and a (2R)-4-(1,3-dimethylpiperidin-4-yl)butan-2-yl group at the 17 position, with double bonds at the 1-10 and 9-19 positions (the 3R,5R,17beta enantiomer).",[C][C][C][N][Branch1][C][C][C][C][C][Ring1][#Branch1][C][C][C@@H1][Branch1][C][C][C@H1][C][C][C@@H1][C@][Ring1][Branch1][Branch1][C][C][C][C][C][=C][C][=C][C][C@@H1][Branch1][=Branch1][N][Branch1][C][C][C][C][C@][Ring1][=Branch2][C][C][C@@][Ring1][=C][Ring2][Ring1][Ring1][O][Ring1][Branch1]
"The molecule is a nucleotide-sugar oxoanion arising from deprotonation of the diphosphate OH groups of dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-glucose; major species at pH 7.3. It has a role as a bacterial metabolite. It is a conjugate base of a dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-glucose.",[C][C][=C][N][Branch2][Ring2][#C][C@H1][C][C@H1][Branch1][C][O][C@@H1][Branch2][Ring1][P][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][P][=Branch1][C][=O][Branch1][C][O][O][C@@H1][C][C][C][=Branch1][C][=O][C@@H1][Branch1][C][C][O][Ring1][Branch2][O][Ring2][Ring1][Branch2][C][=Branch1][C][=O][N][=C][Ring2][Ring1][#C][O-1]
"The molecule is an amino trisaccharide that is 2-acetamido-2-deoxy-beta-D-glucopyranose in which the hydroxy groups at positions 4 and 6 have been converted into the corresponding 2-acetamido-2-deoxy-beta-D-glucopyranosyl and alpha-L-fucopyranosyl derivatives, respectively. It is a glucosamine oligosaccharide, a member of acetamides and an amino trisaccharide. It derives from a N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosamine.",[C][C][Branch1][C][O][=N][C@@H1][C@@H1][Branch1][C][O][C@H1][Branch2][Ring1][#Branch2][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][N][=C][Branch1][C][C][O][C@@H1][Branch2][Ring1][Branch1][C][O][C@@H1][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][O][C@H1][Ring2][Ring2][C][O]
"The molecule is a flavonoid oxoanion that is the conjugate base of isorhamnetin, arising from the deprotonation of the 7-hydroxy group; major species at pH 7.3. It is a conjugate base of an isorhamnetin.",[C][O][C][=C][C][Branch2][Ring1][=Branch2][C][O][C][=C][C][Branch1][C][O-1][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][=Branch1][C][=O][C][=Ring1][=N][O][=C][C][=C][Ring2][Ring1][Ring2][O]
The molecule is puromycin derivative that lacks the methoxyphenylalanyl group on the amine of the sugar ring. It is a 3'-deoxyribonucleoside and a member of adenosines.,[C][N][Branch1][C][C][C][=N][C][=N][C][=C][Ring1][=Branch1][N][=C][N][Ring1][Branch1][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][N][C@H1][Ring1][Branch2][O]
"The molecule is a tricyclic sesquiterpenoid that is pentalenene in which the 13-methyl group is oxidsed to the carboxylic acid and position 1 is substituted by a hydroxy group. It has a role as a metabolite. It is a sesquiterpenoid, a 5-hydroxy monocarboxylic acid and a carbotricyclic compound. It derives from a pentalenene. It is a conjugate acid of a pentalenate.",[C][C@@H1][C][C][C@H1][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][C@@H1][C@@H1][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][C][C@@][Ring1][P][Ring1][Branch2][Ring1][=C]
"The molecule is a naphthochromene that is 4H-naphtho[2,3-h]chromene which is substituted at position 2 by a (2R)-butan-2-yl group, at position 5 by a hydroxymethyl group, at position 11 by a hydroxy group, and at positions 4, 7, and 12 by oxogroups. An antibiotic isolated from Streptomyces sp. cu39, it exerts a potent protecting effect on neuronal cells through suppressing L-glutamate toxicity. It has a role as a metabolite and an antimicrobial agent. It is a member of phenols, a member of benzyl alcohols, a naphthochromene and a member of p-quinones.",[C][C][C@@H1][Branch1][C][C][C][=C][C][=Branch1][C][=O][C][=C][Branch1][Ring1][C][O][C][=C][C][=Branch1][#Branch1][=C][Ring1][Branch2][O][Ring1][=N][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][C][=C][Ring1][#Branch1][C][Ring1][=C][=O]
"The molecule is an organic heterooctacyclic compound that is 1H,1'H-2,2'-biindole in which the nitrogens have undergone formal oxidative coupling to positions 2 and 5 of hexyl (3S)-3-hydroxy-2-methyltetrahydrofuran-3-carboxylate (the 2R,3S,5S product), and in which the 3 and 3' positions of the biindole moiety have also undergone formal oxidative coupling to positions 3 and 4 of 1,5-dihydro-2H-pyrrol-2-one. It has a role as an EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor. It is an organic heterooctacyclic compound, a gamma-lactam, a tertiary alcohol, a carboxylic ester, a hemiaminal, a semisynthetic derivative and an indolocarbazole. It derives from a K-252a.",[C][C][C][C][C][C][O][C][=Branch1][C][=O][C@][Branch1][C][O][C][C@@H1][O][C@@][Ring1][=Branch1][Branch1][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][=Branch1][C][Ring1][=Branch2][=C][Ring1][=N][Ring2][Ring1][Ring2][C][Branch1][C][O][=N][C][Ring1][S]
