prompt,gt_smiles,ring_count,gt_branches,ring_bin,branch_bin,stratum,morgan_sim
"The molecule is an organic heterotetracyclic compound isolated from the stems of Kadsura matsudai. It has a role as a plant metabolite. It is an organic heterotetracyclic compound, a cyclic ether, a methyl ester, an alpha-ketoester, an enoate ester and a hexanoate ester.",CCCCCC(=O)OC1c2cc3c(c4c2C(C(=O)C(=O)OC)(CO4)/C(=C\C(=O)OC)CC(C)C1C)OCO3,4,9,3+,3+,3+r/3+b (hardest),0.1736
"The molecule is an N-glycosyl compound consisting of a heteropolycyclic ring system with a glucosyl group attached to one of the indolic nitrogens. It is an organochlorine compound, an indolocarbazole, a N-glycosyl compound and an organic heterohexacyclic compound.",O=C1N=C(O)c2c1c1c3cccc(Cl)c3n([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1c1[nH]c3c(Cl)cccc3c21,7,7,3+,3+,3+r/3+b (hardest),0.1386
"The molecule is a C-glycosyl compound that is 9H-xanthen-9-one substituted by hydroxy groups at positions 1, 3, and 7 and a 1,5-anhydro-D-glucitol moiety at position 1. It has a role as a plant metabolite. It is a member of xanthones, a C-glycosyl compound and a polyphenol.",O=c1c2cc(O)ccc2oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,4,7,3+,3+,3+r/3+b (hardest),0.2133
"The molecule is a chromenol that is 2H-chromene-5,7-diol substituted by geminal methyl groups at position 2, a 2-methylbutanoyl group at position 8 and a 3-acetyl-2,4,6-trihydroxy-5-methylbenzyl group at position 6. Isolated from Mallotus philippensis, it exhibits anti-inflammatory activity. It has a role as a metabolite, an anti-inflammatory agent, a histamine antagonist and an EC 1.14.13.39 (nitric oxide synthase) inhibitor. It is a chromenol, a methyl ketone, a polyphenol and an aromatic ketone. It derives from a phloroglucinol.",CCC(C)C(=O)c1c(O)c(Cc2c(O)c(C)c(O)c(C(C)=O)c2O)c(O)c2c1OC(C)(C)C=C2,3,12,3+,3+,3+r/3+b (hardest),0.1368
The molecule is a pentacyclic triterpenoid that is oleanane substituted at the 3beta-position by a hydroxy group and containing a double bond between positions 12 and 13. It is one of the most commonly occurring triterpenoids in higher plants. It has a role as a plant metabolite and an Aspergillus metabolite. It is a pentacyclic triterpenoid and a secondary alcohol. It derives from a hydride of an oleanane.,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,5,8,3+,3+,3+r/3+b (hardest),0.1398
"The molecule is a pyrroloquinoxaline that is pyrrolo[1,2-a]quinoxaline bearing additional 4-methylpiperazin-1-yl and trifluoromethyl substituents at positions 4 and 7 respectively. A 5-hydroxytryptamine receptor 1B (5-HT1B) full agonist, 10-fold selective over 5-HT1A and 1000-fold selective over 5-HT2C receptors. Centrally active following systemic administration. It has a role as a serotonergic agonist. It is a N-arylpiperazine, an organofluorine compound and a pyrroloquinoxaline.",CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,4,4,3+,3+,3+r/3+b (hardest),0.15
"The molecule is a bridged compound that is 3,4-xylenol carrying an additional isobornyl substituent at position 6. A lipophilic antibacterial drug mainly used in spray dosage forms for the local treatment of infection and inflammation of the throat. It has a role as an antibacterial drug. It is a member of phenols and a bridged compound. It derives from a hydride of a bornane.",Cc1cc(O)c([C@@H]2C[C@H]3CC[C@]2(C)C3(C)C)cc1C,3,4,3+,3+,3+r/3+b (hardest),0.1774
"The molecule is a benzoylurea insecticide, a member of monochlorobenzenes, a member of (trifluoromethyl)benzenes, a member of monofluorobenzenes and a difluorobenzene. It has a role as a mite growth regulator. It derives from a diphenyl ether.",OC(=Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F)N=C(O)c1c(F)cccc1F,3,7,3+,3+,3+r/3+b (hardest),0.1667
"The molecule is a hydroxyisoflavone that is isoflavone substituted by a hydroxy group at position 2', a methoxy group at position 5 and a methylenedioxy group across positions 6 and 7 respectively. It has a role as a plant metabolite. It is a hydroxyisoflavone and a methoxyisoflavone. It derives from an isoflavone.",COc1c2c(cc3occ(-c4ccccc4O)c(=O)c13)OCO2,4,3,3+,3+,3+r/3+b (hardest),0.2353
"The molecule is a member of the class of benzotriazoles that is 1H-benzotriazole which is substituted by a 2-oxo-2-{(4-propanamidophenyl)[(thiophen-3-yl)methyl]amino}ethyl group at position 1. It is a 3C-like protease inhibitor of SARS-CoV and bat coronavirus HKU4. It has a role as an EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor and an anticoronaviral agent. It is a member of benzotriazoles, a dicarboxylic acid diamide, a secondary carboxamide, a tertiary carboxamide and a member of thiophenes.",CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,4,4,3+,3+,3+r/3+b (hardest),0.1609
