prompt,gt_smiles,ring_count,gt_branches,ring_bin,branch_bin,stratum,morgan_sim
"The molecule is a carbopolycyclic compound that is (3S)-3-ethyl-6,8-dihydroxy-3,4-dihydrotetraphene-1,7,12(2H)-trione substituted at position 8 by a 3-amino-2,3,6-trideoxy-alpha-L-ribo-hexopyranosyl group. It is isolated from the culture broth of Nocardia brasiliensis and exhibits antibacterial activity against Gram-positive bacteria. It is also active against the multiple drug-resistant P388/ADR tumour cells. It has a role as a metabolite, an antimicrobial agent, an antibacterial agent and an antineoplastic agent. It is a member of phenols, an aminoglycoside, a deoxy hexoside, a carbopolycyclic compound and a member of p-quinones.",CC[C@@H]1CC(=O)c2c(cc(O)c3c2C(=O)c2cccc(O[C@H]4C[C@@H](N)[C@@H](O)[C@H](C)O4)c2C3=O)C1,5,8,3+,3+,3+r/3+b (hardest),0.125
"The molecule is a polyketide that is monacolin L bearing an additional hydroxy substituent at position 8. It has a role as an antimicrobial agent, a fungal metabolite and an EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor. It is a secondary alcohol, a polyketide, a carbobicyclic compound, a member of 2-pyranones and a member of hexahydronaphthalenes. It derives from a monacolin L.",C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](O)C1,3,5,3+,3+,3+r/3+b (hardest),0.1831
"The molecule is a member of the class of cortistatins that is substituted by a dimethylamino group at the 3alpha position and a (2R)-4-(1,3-dimethylpiperidin-4-yl)butan-2-yl group at the 17 position, with double bonds at the 1-10 and 9-19 positions (the 3R,5R,17beta enantiomer).",CC1CN(C)CCC1CC[C@@H](C)[C@H]1CC[C@@H]2[C@]1(C)CCC1=CC3=CC[C@@H](N(C)C)C[C@]34CC[C@@]12O4,6,5,3+,3+,3+r/3+b (hardest),0.187
"The molecule is a nucleotide-sugar oxoanion arising from deprotonation of the diphosphate OH groups of dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-glucose; major species at pH 7.3. It has a role as a bacterial metabolite. It is a conjugate base of a dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-glucose.",Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)(O)O[C@@H]3CCC(=O)[C@@H](C)O3)O2)c(=O)nc1[O-],3,10,3+,3+,3+r/3+b (hardest),0.3684
"The molecule is an amino trisaccharide that is 2-acetamido-2-deoxy-beta-D-glucopyranose in which the hydroxy groups at positions 4 and 6 have been converted into the corresponding 2-acetamido-2-deoxy-beta-D-glucopyranosyl and alpha-L-fucopyranosyl derivatives, respectively. It is a glucosamine oligosaccharide, a member of acetamides and an amino trisaccharide. It derives from a N-acetyl-beta-D-glucosaminyl-(1->4)-N-acetyl-beta-D-glucosamine.",CC(O)=N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N=C(C)O)[C@@H](CO[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)O[C@H]1O,3,11,3+,3+,3+r/3+b (hardest),0.25
"The molecule is a flavonoid oxoanion that is the conjugate base of isorhamnetin, arising from the deprotonation of the 7-hydroxy group; major species at pH 7.3. It is a conjugate base of an isorhamnetin.",COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)ccc1O,3,4,3+,3+,3+r/3+b (hardest),0.1519
The molecule is puromycin derivative that lacks the methoxyphenylalanyl group on the amine of the sugar ring. It is a 3'-deoxyribonucleoside and a member of adenosines.,CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](N)[C@H]1O,3,3,3+,3+,3+r/3+b (hardest),0.1932
"The molecule is a tricyclic sesquiterpenoid that is pentalenene in which the 13-methyl group is oxidsed to the carboxylic acid and position 1 is substituted by a hydroxy group. It has a role as a metabolite. It is a sesquiterpenoid, a 5-hydroxy monocarboxylic acid and a carbotricyclic compound. It derives from a pentalenene. It is a conjugate acid of a pentalenate.",C[C@@H]1CC[C@H]2C(C(=O)O)=C[C@@H]3[C@@H](O)C(C)(C)C[C@@]132,3,5,3+,3+,3+r/3+b (hardest),0.1639
"The molecule is a naphthochromene that is 4H-naphtho[2,3-h]chromene which is substituted at position 2 by a (2R)-butan-2-yl group, at position 5 by a hydroxymethyl group, at position 11 by a hydroxy group, and at positions 4, 7, and 12 by oxogroups. An antibiotic isolated from Streptomyces sp. cu39, it exerts a potent protecting effect on neuronal cells through suppressing L-glutamate toxicity. It has a role as a metabolite and an antimicrobial agent. It is a member of phenols, a member of benzyl alcohols, a naphthochromene and a member of p-quinones.",CC[C@@H](C)c1cc(=O)c2c(CO)cc3c(c2o1)C(=O)c1c(O)cccc1C3=O,4,6,3+,3+,3+r/3+b (hardest),0.1184
"The molecule is an organic heterooctacyclic compound that is 1H,1'H-2,2'-biindole in which the nitrogens have undergone formal oxidative coupling to positions 2 and 5 of hexyl (3S)-3-hydroxy-2-methyltetrahydrofuran-3-carboxylate (the 2R,3S,5S product), and in which the 3 and 3' positions of the biindole moiety have also undergone formal oxidative coupling to positions 3 and 4 of 1,5-dihydro-2H-pyrrol-2-one. It has a role as an EC 2.7.11.11 (cAMP-dependent protein kinase) inhibitor. It is an organic heterooctacyclic compound, a gamma-lactam, a tertiary alcohol, a carboxylic ester, a hemiaminal, a semisynthetic derivative and an indolocarbazole. It derives from a K-252a.",CCCCCCOC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(O)=NC4,8,5,3+,3+,3+r/3+b (hardest),0.1429
"The molecule is an indole alkaloid cation that is the conjugate acid of (3R)-1,2-didehydro-3-hydroxy-2,3-dihydrotabersonine, obtained by protonation of the tertiary amino group. Major species at pH 7.3. It is a conjugate acid of a (3R)-1,2-didehydro-3-hydroxy-2,3-dihydrotabersonine.",CC[C@]12C=CCN3CC[C@]4(C(=[NH+]c5ccccc54)[C@@](O)(C(=O)OC)C1)[C@@H]32,5,5,3+,3+,3+r/3+b (hardest),0.1471
The molecule is an N-(2-naphthyl)carboxamide obtained by formal condensation of the carboxy group of glycyl-L-phenylalanine with the amino group of 2-naphthylamine. It has a role as a chromogenic compound. It is a N-(2-naphthyl)carboxamide and a dipeptide.,NCC(O)=N[C@@H](Cc1ccccc1)C(O)=Nc1ccc2ccccc2c1,3,3,3+,3+,3+r/3+b (hardest),0.2143
"The molecule is a dicarboxylic acid diamide obtained by condensation of the 3- and 4'-carboxy groups of 6-methyl[1,1'-biphenyl]-3,4'-dicarboxylic acid with cyclpropylamine and cyclpropylmethylamine respectively. It has a role as an EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor. It is a member of biphenyls, a dicarboxylic acid diamide, a member of benzamides and a member of cyclopropanes.",Cc1ccc(C(O)=NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,4,4,3+,3+,3+r/3+b (hardest),0.1505
