prompt,response
"The molecule is a dimethoxyflavone that is quercetin in which the hydroxy groups at the 3' and 7 positions have been replaced by methoxy groups. It has a role as a plant metabolite and an antineoplastic agent. It is a dimethoxyflavone, a trihydroxyflavone, an aromatic ether and a member of phenols. It derives from a quercetin.",[C][O][C][=C][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][Branch1][C][O][=C][Branch1][S][C][=C][C][=C][Branch1][C][O][C][Branch1][Ring1][O][C][=C][Ring1][=Branch2][O][C][Ring1][P][=C][Ring2][Ring1][=Branch1]
"The molecule is a 3beta-hydroxy-4,4-dimethylsteroid that is that is cholestan-3beta-ol in which the hydrogens at position 4 have been replaced by methyl groups and a double bond has been introduced between positions 8 and 14.",[C][C][Branch1][C][C][C][C][C][C@@H1][Branch1][C][C][C@H1][C][C][C][=C][C][C][C][C][Branch1][C][C][Branch1][C][C][C@@H1][Branch1][C][O][C][C][C@][Ring1][=Branch2][Branch1][C][C][C@H1][Ring1][=C][C][C][C@@][Ring2][Ring1][C][Ring2][Ring1][Branch1][C]
The molecule is a steroid glucosiduronic acid that consists of 17beta-estradiol having a beta-glucuronyl residue attached at position 17 via a glycosidic linkage. It is a steroid glucosiduronic acid and a 3-hydroxy steroid. It derives from a 17beta-estradiol. It is a conjugate acid of a 17beta-estradiol 17-glucosiduronate.,[C][C@][C][C][C@@H1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][C][C@H1][Ring1][O][C@@H1][Ring1][#C][C][C][C@@H1][Ring2][Ring1][C][O][C@@H1][O][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][O][O]
The molecule is the glycine conjugate of lithocholic acid. It is a bile acid glycine conjugate and a N-acylglycine. It derives from a lithocholic acid. It is a conjugate acid of a glycolithocholate.,[C][C@H1][Branch1][=C][C][C][C][Branch1][C][O][=N][C][C][=Branch1][C][=O][O][C@H1][C][C][C@H1][C@@H1][C][C][C@@H1][C][C@H1][Branch1][C][O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][N][C][C][C@][Ring2][Ring1][Ring1][Ring1][S][C]
"The molecule is a member of the class of xanthones that is 9H-xanthen-9-one substituted by hydroxy groups at positions 1 and 3, methoxy groups at positions 5 and 7 and two isoprenyl groups at positions 2 and 8 respectively. It is isolated from Cratoxylum Sumatranum and exhibits cytotoxicity towards the KB (human oral epidermoid) cancer cell line It has a role as a metabolite and an antineoplastic agent. It is a polyphenol, an aromatic ether and a member of xanthones.",[C][O][C][=C][C][Branch1][Ring1][O][C][=C][O][C][=C][C][Branch1][C][O][=C][Branch1][Branch2][C][C][=C][Branch1][C][C][C][C][Branch1][C][O][=C][Ring1][=N][C][=Branch1][C][=O][C][Ring2][Ring1][C][=C][Ring2][Ring1][Branch2][C][C][=C][Branch1][C][C][C]
"The molecule is a tricyclic diterpenoid that is isolated from plants and fungi and exhibits anti-bacterial protperties. It has a role as a plant metabolite, an antibacterial agent and a fungal metabolite. It is a labdane diterpenoid, a cyclic ether, an organic heterotricyclic compound and a tricyclic diterpenoid.",[C][=C][C@@][Branch1][C][C][C][C][C@H1][C@][Branch1][C][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C@H1][Ring1][=Branch2][C][C][C@][Ring1][=N][Branch1][C][C][O][Ring2][Ring1][Ring1]
"The molecule is a member of the class of coumarins that is coumarin substituted by methoxy groups at positions 5 and 7, a prenyl group at position 6 and a 2,4-dihydroxyphenyl group at position 3. Isolated from Glycyrrhiza uralensis, it exhibits antibacterial activity. It has a role as a metabolite, an antibacterial agent and a plant metabolite. It is a member of coumarins, a member of hydroxyisoflavans and an aromatic ether.",[C][O][C][=C][C][O][C][=Branch1][C][=O][C][Branch1][=N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O][=C][C][=Ring1][#C][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][Branch1][C][C][=C][Branch1][C][C][C]
"The molecule is a flavone C-glycoside that is 7,4'-dihydroxyflavone substituted by a 6-O-[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]-beta-D-glucopyranosyl residue at position 8 via a C-glycosidic linkage. It has a role as a plant metabolite. It is a dihydroxyflavone and a flavone C-glycoside.",[O][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][=C][O][C][=C][Branch2][Ring2][Branch1][C@@H1][O][C@H1][Branch2][Ring1][C][C][O][C@@H1][O][C][C@][Branch1][C][O][Branch1][Ring1][C][O][C@H1][Ring1][Branch2][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring2][Ring1][Ring1][O][C][Branch1][C][O][=C][C][=C][Ring2][Ring2][=Branch1][Ring2][Ring1][O]
"The molecule is a tetracyclic triterpenoid isolated from Aglaia abbreviata. It has a role as a plant metabolite. It is a member of oxolanes, a diol and a tetracyclic triterpenoid. It derives from a hydride of a dammarane.",[C][C][Branch1][C][C][Branch1][C][O][C@@H1][C][C][C@@][Branch1][C][C][Branch2][Ring2][O][C@H1][C][C][C@][Branch1][C][C][C@@H1][Ring1][=Branch1][C][C][C@@H1][C@@][Branch1][C][C][C][C][C@@H1][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring1][#Branch2][C][C][C@][Ring1][=C][Ring2][Ring1][Ring1][C][O][Ring2][Ring1][=N]
"The molecule is an amidobenzoic acid obtained by formal condensation of the carboxy group of (5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)benzoic acid with the anilino group of 4-aminobenzoic acid. A selective RARalpha agonist. It has a role as a retinoic acid receptor alpha/beta agonist and an antineoplastic agent. It is an amidobenzoic acid and a member of tetralins.",[C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch2][Ring1][Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2][=C][C][=C][Ring2][Ring1][C][Ring2][Ring1][=Branch2]
