prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a dimethoxyflavone that is quercetin in which the hydroxy groups at the 3' and 7 positions have been replaced by methoxy groups. It has a role as a plant metabolite and an antineoplastic agent. It is a dimethoxyflavone, a trihydroxyflavone, an aromatic ether and a member of phenols. It derives from a quercetin.",COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,COC=C1C=C(CC2=CC(=O)CC(OC)=C(OC)C(OC)=COC(OC)=C2O)C=C1OC,True,False,0.2988,0.1257,0.2988,0.1257,0.3214,0.1463,0.4773,0.2675
"The molecule is a 3beta-hydroxy-4,4-dimethylsteroid that is that is cholestan-3beta-ol in which the hydrogens at position 4 have been replaced by methyl groups and a double bond has been introduced between positions 8 and 14.",CC(C)CCC[C@@H](C)[C@H]1CCC2=C3CCC4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C=C(C(C)(C)CCC(C)C)CC[C@@]21C,True,False,0.708,0.6221,0.7274,0.5839,0.6579,0.2763,0.6571,0.6588
The molecule is a steroid glucosiduronic acid that consists of 17beta-estradiol having a beta-glucuronyl residue attached at position 17 via a glycosidic linkage. It is a steroid glucosiduronic acid and a 3-hydroxy steroid. It derives from a 17beta-estradiol. It is a conjugate acid of a 17beta-estradiol 17-glucosiduronate.,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,Oc1ccc2c(c1)C[C@@H]1C([CH]2)C2[C]3C4[C@H]2CO[CH][C@@H](O)[C@H](O)[C@H](O)C[C@H]3[C@H]41,True,False,0.736,0.5559,0.571,0.3032,0.5052,0.2111,0.5957,0.5588
The molecule is the glycine conjugate of lithocholic acid. It is a bile acid glycine conjugate and a N-acylglycine. It derives from a lithocholic acid. It is a conjugate acid of a glycolithocholate.,C[C@H](CCC(O)=NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@H]1[CH]CC2[CH][C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]2(C)OC(=O)CN=C(O)CC1,True,False,0.854,0.7137,0.7741,0.5678,0.5326,0.2556,0.8491,0.5619
"The molecule is a member of the class of xanthones that is 9H-xanthen-9-one substituted by hydroxy groups at positions 1 and 3, methoxy groups at positions 5 and 7 and two isoprenyl groups at positions 2 and 8 respectively. It is isolated from Cratoxylum Sumatranum and exhibits cytotoxicity towards the KB (human oral epidermoid) cancer cell line It has a role as a metabolite and an antineoplastic agent. It is a polyphenol, an aromatic ether and a member of xanthones.",COc1cc(OC)c2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1CC=C(C)C,COC=C(O)C=C(O)C(O)CC=C(C)C=C(O)C=C1CC=CC(=O)C=C(CC=C(C)C)OC1,True,False,0.524,0.3855,0.524,0.3855,0.45,0.1954,0.6383,0.2093
"The molecule is a tricyclic diterpenoid that is isolated from plants and fungi and exhibits anti-bacterial protperties. It has a role as a plant metabolite, an antibacterial agent and a fungal metabolite. It is a labdane diterpenoid, a cyclic ether, an organic heterotricyclic compound and a tricyclic diterpenoid.",C=C[C@@]1(C)CC[C@H]2[C@]3(C)CCCC(C)(C)[C@H]3CC[C@]2(C)O1,COc1cc2ccc1OC[C@@H](O)C(C)(C)OC[C@@H]1C3C[C@](C)(CCC1(C)C)C2C[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]31,True,False,0.5146,0.4067,0.4231,0.3015,0.4632,0.1071,0.48,0.3001
"The molecule is a member of the class of coumarins that is coumarin substituted by methoxy groups at positions 5 and 7, a prenyl group at position 6 and a 2,4-dihydroxyphenyl group at position 3. Isolated from Glycyrrhiza uralensis, it exhibits antibacterial activity. It has a role as a metabolite, an antibacterial agent and a plant metabolite. It is a member of coumarins, a member of hydroxyisoflavans and an aromatic ether.",COc1cc2oc(=O)c(-c3ccc(O)cc3O)cc2c(OC)c1CC=C(C)C,COC=CC([CH]C=C(O)C=C(O)CC(OC)C(O)C(O)=CC=O)=CC=CO,True,False,0.378,0.1996,0.3942,0.2084,0.2653,0.093,0.4348,0.1788
"The molecule is a flavone C-glycoside that is 7,4'-dihydroxyflavone substituted by a 6-O-[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]-beta-D-glucopyranosyl residue at position 8 via a C-glycosidic linkage. It has a role as a plant metabolite. It is a dihydroxyflavone and a flavone C-glycoside.",O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO[C@@H]4OC[C@](O)(CO)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,COC=CC([CH]Cc1cc(O)cc(O)c1CC=C(O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=CC(O)=CC(O)=CO,True,False,0.6442,0.5198,0.5832,0.4166,0.4757,0.1622,0.6226,0.469
"The molecule is a tetracyclic triterpenoid isolated from Aglaia abbreviata. It has a role as a plant metabolite. It is a member of oxolanes, a diol and a tetracyclic triterpenoid. It derives from a hydride of a dammarane.",CC(C)(O)[C@@H]1CC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2CC[C@@H]2[C@@]4(C)CC[C@@H](O)C(C)(C)[C@@H]4CC[C@]23C)O1,[C]CC[C@](C)(CO)C[CH][C](C)C1=CC=C2C(C[CH]C(C)C)[C](C)[CH]CC[C@@]12C,True,False,0.486,0.3014,0.4791,0.2347,0.4519,0.0968,0.4894,0.2424
"The molecule is an amidobenzoic acid obtained by formal condensation of the carboxy group of (5,5,8,8-tetramethyl-5,6,7,8-tetrahydronaphthalen-2-yl)benzoic acid with the anilino group of 4-aminobenzoic acid. A selective RARalpha agonist. It has a role as a retinoic acid receptor alpha/beta agonist and an antineoplastic agent. It is an amidobenzoic acid and a member of tetralins.",CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,C=CC(C)=C(CC(=O)C1=CC=CCN(C2=CC=CC=CC(CN3CCCCN(C)CC3)C2)C(C)=C1)C(=O)O,True,False,0.4229,0.2698,0.4229,0.2698,0.2857,0.117,0.3231,0.2344
