molecule_idx,position,category,mode,gt_token_id,top1_pred_id,top1_correct,p_gt,entropy,ring_count_of_molecule,ring_bin
0,2,atom,mode1,3,3,1,0.9998902082443237,0.0012799135874956846,4,3+
0,22,atom,mode1,33,33,1,0.9367623925209045,0.2518813908100128,4,3+
0,28,atom,mode1,17,17,1,0.97003573179245,0.1488037109375,4,3+
0,24,ring_count,mode1,15,15,1,0.998313307762146,0.01332704909145832,4,3+
0,30,ring_count,mode1,8,8,1,0.9758713841438293,0.11908303946256638,4,3+
0,38,ring_count,mode1,5,5,1,0.9999467134475708,0.0006514252745546401,4,3+
0,39,ring_count,mode1,12,12,1,0.7357189059257507,0.7234410047531128,4,3+
0,40,ring_count,mode1,5,5,1,0.9999381303787231,0.0007708282792009413,4,3+
0,41,ring_count,mode1,24,24,1,0.6667933464050293,0.699340283870697,4,3+
0,3,branch_opener,mode1,7,7,1,0.9999097585678101,0.0010435703443363309,4,3+
0,17,branch_opener,mode1,7,7,1,0.9999616146087646,0.00047447060933336616,4,3+
0,24,branch_opener,mode1,15,15,1,0.998313307762146,0.01332704909145832,4,3+
0,25,branch_opener,mode1,6,6,1,0.9998652935028076,0.001518081990070641,4,3+
0,32,branch_opener,mode1,7,7,1,0.9978548884391785,0.017948856577277184,4,3+
0,2,atom,mode2,3,3,1,0.9998996257781982,0.0011853420874103904,4,3+
0,22,atom,mode2,33,33,1,0.9321276545524597,0.26757895946502686,4,3+
0,28,atom,mode2,17,17,1,0.9721735119819641,0.14557301998138428,4,3+
0,24,ring_count,mode2,15,15,1,0.991436779499054,0.051340822130441666,4,3+
0,30,ring_count,mode2,8,8,1,0.9787015914916992,0.1063956543803215,4,3+
0,38,ring_count,mode2,5,5,1,0.9999468326568604,0.0006504298653453588,4,3+
0,39,ring_count,mode2,12,5,0,0.05746876448392868,0.4428635239601135,4,3+
0,40,ring_count,mode2,5,5,1,0.9934733510017395,0.04790715128183365,4,3+
0,41,ring_count,mode2,24,24,1,0.6333960890769958,0.8716845512390137,4,3+
0,3,branch_opener,mode2,7,7,1,0.9999148845672607,0.0009955459972843528,4,3+
0,17,branch_opener,mode2,7,7,1,0.9999281167984009,0.0008216759888455272,4,3+
0,24,branch_opener,mode2,15,15,1,0.9993700385093689,0.006027633789926767,4,3+
0,25,branch_opener,mode2,6,6,1,0.9998171925544739,0.0019348296336829662,4,3+
0,32,branch_opener,mode2,7,7,1,0.9974592328071594,0.020164309069514275,4,3+
1,3,atom,mode1,4,4,1,0.9992262125015259,0.006759176962077618,3,3+
1,33,atom,mode1,3,3,1,0.9973660111427307,0.022070031613111496,3,3+
1,39,atom,mode1,17,17,1,0.9932639598846436,0.041035011410713196,3,3+
1,12,ring_count,mode1,5,5,1,0.9239540100097656,0.40177127718925476,3,3+
1,13,ring_count,mode1,3,3,1,0.9713438153266907,0.17710939049720764,3,3+
1,33,ring_count,mode1,3,3,1,0.9973660111427307,0.022070031613111496,3,3+
1,45,ring_count,mode1,20,20,1,0.9995861649513245,0.004373473115265369,3,3+
1,49,ring_count,mode1,5,5,1,0.9999446868896484,0.0007079009665176272,3,3+
1,50,ring_count,mode1,13,13,1,0.49890127778053284,1.715181827545166,3,3+
1,52,ring_count,mode1,5,5,1,0.9997672438621521,0.0023868016432970762,3,3+
1,53,ring_count,mode1,18,2,0,0.0020890592131763697,0.0775923877954483,3,3+
1,10,branch_opener,mode1,11,11,1,0.9994997978210449,0.0047853002324700356,3,3+
1,15,branch_opener,mode1,7,7,1,0.9997228980064392,0.0027465096209198236,3,3+
1,20,branch_opener,mode1,7,7,1,0.9979571104049683,0.015844831243157387,3,3+
1,23,branch_opener,mode1,7,7,1,0.9999465942382812,0.0007202124688774347,3,3+
1,31,branch_opener,mode1,6,6,1,0.9999669790267944,0.0004482739313971251,3,3+
1,36,branch_opener,mode1,6,6,1,0.9999629259109497,0.0004946350818499923,3,3+
1,40,branch_opener,mode1,6,6,1,0.9999533891677856,0.0005803029634989798,3,3+
1,45,branch_opener,mode1,20,20,1,0.9995861649513245,0.004373473115265369,3,3+
1,53,branch_opener,mode1,18,2,0,0.0020890592131763697,0.0775923877954483,3,3+
1,3,atom,mode2,4,4,1,0.9991670846939087,0.007196769118309021,3,3+
1,33,atom,mode2,3,3,1,0.997539758682251,0.020691318437457085,3,3+
1,39,atom,mode2,17,17,1,0.9943304061889648,0.03563496470451355,3,3+
1,12,ring_count,mode2,5,5,1,0.9314317107200623,0.37912335991859436,3,3+
1,13,ring_count,mode2,3,3,1,0.960338294506073,0.22125789523124695,3,3+
1,33,ring_count,mode2,3,3,1,0.9952797889709473,0.03654338791966438,3,3+
1,45,ring_count,mode2,20,20,1,0.999546229839325,0.004573846235871315,3,3+
1,49,ring_count,mode2,5,5,1,0.9998297691345215,0.001887305872514844,3,3+
1,50,ring_count,mode2,13,18,0,0.18929369747638702,1.838073968887329,3,3+
1,52,ring_count,mode2,5,5,1,0.5344566702842712,0.7487367391586304,3,3+
1,53,ring_count,mode2,18,2,0,0.0008470035973004997,0.05027046799659729,3,3+
1,10,branch_opener,mode2,11,11,1,0.9994644522666931,0.0051454524509608746,3,3+
1,15,branch_opener,mode2,7,7,1,0.9996159076690674,0.003639000467956066,3,3+
1,20,branch_opener,mode2,7,7,1,0.9992401599884033,0.007026659790426493,3,3+
1,23,branch_opener,mode2,7,7,1,0.9999504089355469,0.0006735078641213477,3,3+
1,31,branch_opener,mode2,6,6,1,0.9999357461929321,0.0008185394108295441,3,3+
1,36,branch_opener,mode2,6,6,1,0.9999698400497437,0.00040255108615383506,3,3+
1,40,branch_opener,mode2,6,6,1,0.9999116659164429,0.0010111512383446097,3,3+
1,45,branch_opener,mode2,20,20,1,0.9997262358665466,0.003059800947085023,3,3+
1,53,branch_opener,mode2,18,2,0,0.008301425725221634,0.1973644495010376,3,3+
2,26,atom,mode1,3,3,1,0.9999222755432129,0.0009136085864156485,4,3+
2,42,atom,mode1,4,4,1,0.9969108700752258,0.021785777062177658,4,3+
2,53,atom,mode1,3,3,1,0.9845631718635559,0.08069492876529694,4,3+
2,12,ring_count,mode1,10,10,1,0.3394429683685303,1.599364995956421,4,3+
2,34,ring_count,mode1,15,15,1,0.9999860525131226,0.00018064473988488317,4,3+
2,38,ring_count,mode1,4,4,1,0.6035277843475342,0.9708883762359619,4,3+
2,48,ring_count,mode1,7,7,1,0.9999830722808838,0.00022927223471924663,4,3+
2,56,ring_count,mode1,7,7,1,0.952531099319458,0.2010333389043808,4,3+
2,2,branch_opener,mode1,6,6,1,0.9827412962913513,0.0968795120716095,4,3+
2,6,branch_opener,mode1,7,7,1,0.9999675750732422,0.00042664227657951415,4,3+
2,10,branch_opener,mode1,11,11,1,0.9956102967262268,0.03128049522638321,4,3+
2,19,branch_opener,mode1,6,6,1,0.9956212639808655,0.030702754855155945,4,3+
2,22,branch_opener,mode1,6,6,1,0.9882588386535645,0.07214030623435974,4,3+
2,28,branch_opener,mode1,6,6,1,0.9999927282333374,0.0001093206083169207,4,3+
2,34,branch_opener,mode1,15,15,1,0.9999860525131226,0.00018064473988488317,4,3+
2,39,branch_opener,mode1,6,6,1,0.9993677735328674,0.006637479178607464,4,3+
2,40,branch_opener,mode1,18,18,1,0.9872751235961914,0.0901813879609108,4,3+
2,48,branch_opener,mode1,7,7,1,0.9999830722808838,0.00022927223471924663,4,3+
2,56,branch_opener,mode1,7,7,1,0.952531099319458,0.2010333389043808,4,3+
2,26,atom,mode2,3,3,1,0.9999209642410278,0.0009260158985853195,4,3+
2,42,atom,mode2,4,4,1,0.9972361922264099,0.01975252851843834,4,3+
2,53,atom,mode2,3,3,1,0.987217366695404,0.06926277279853821,4,3+
2,12,ring_count,mode2,10,10,1,0.5336562395095825,1.3245916366577148,4,3+
2,34,ring_count,mode2,15,15,1,0.999985933303833,0.00019157725910190493,4,3+
2,38,ring_count,mode2,4,4,1,0.5427599549293518,1.105446457862854,4,3+
2,48,ring_count,mode2,7,7,1,0.9999758005142212,0.000315528130158782,4,3+
2,56,ring_count,mode2,7,7,1,0.9729673266410828,0.13116957247257233,4,3+
2,2,branch_opener,mode2,6,6,1,0.9716578722000122,0.14370036125183105,4,3+
2,6,branch_opener,mode2,7,7,1,0.9998810291290283,0.0013550339499488473,4,3+
2,10,branch_opener,mode2,11,11,1,0.9942395687103271,0.03912379592657089,4,3+
2,19,branch_opener,mode2,6,6,1,0.9345595240592957,0.25706732273101807,4,3+
2,22,branch_opener,mode2,6,6,1,0.987650454044342,0.07342054694890976,4,3+
2,28,branch_opener,mode2,6,6,1,0.9999847412109375,0.00021554862905759364,4,3+
2,34,branch_opener,mode2,15,15,1,0.9999802112579346,0.00025440604076720774,4,3+
2,39,branch_opener,mode2,6,6,1,0.6946019530296326,1.1300021409988403,4,3+
2,40,branch_opener,mode2,18,3,0,0.26184409856796265,1.2787017822265625,4,3+
2,48,branch_opener,mode2,7,7,1,0.9999409914016724,0.000771371996961534,4,3+
