prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is an organic heterotetracyclic compound isolated from the stems of Kadsura matsudai. It has a role as a plant metabolite. It is an organic heterotetracyclic compound, a cyclic ether, a methyl ester, an alpha-ketoester, an enoate ester and a hexanoate ester.",CCCCCC(=O)OC1c2cc3c(c4c2C(C(=O)C(=O)OC)(CO4)/C(=C\C(=O)OC)CC(C)C1C)OCO3,CO/C1=C\C(=O)C[C@H](OC(C)=O)C(C)(C)[C@H]2C3[CH]C(=O)OC[CH][CH][C@H]2[C@@]3(C)[C@@H](COC(C)=O)O[C]1C,True,False,0.4992,0.3013,0.6738,0.4156,0.3434,0.1565,0.7059,0.3457
"The molecule is an N-glycosyl compound consisting of a heteropolycyclic ring system with a glucosyl group attached to one of the indolic nitrogens. It is an organochlorine compound, an indolocarbazole, a N-glycosyl compound and an organic heterohexacyclic compound.",O=C1N=C(O)c2c1c1c3cccc(Cl)c3n([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1c1[nH]c3c(Cl)cccc3c21,O=CC1=CC(Cl)=C(Cl)C1=CCN1C[CH]Oc2cc(Cl)ccc2O1,True,False,0.2167,0.124,0.2742,0.1589,0.3263,0.1134,0.4474,0.3555
"The molecule is a C-glycosyl compound that is 9H-xanthen-9-one substituted by hydroxy groups at positions 1, 3, and 7 and a 1,5-anhydro-D-glucitol moiety at position 1. It has a role as a plant metabolite. It is a member of xanthones, a C-glycosyl compound and a polyphenol.",O=c1c2cc(O)ccc2oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,O=Cc1cc(O)cc2c1COC=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C=C2O[CH]OC1(O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O,True,False,0.5141,0.4323,0.5141,0.3851,0.5179,0.2222,0.7955,0.4641
"The molecule is a chromenol that is 2H-chromene-5,7-diol substituted by geminal methyl groups at position 2, a 2-methylbutanoyl group at position 8 and a 3-acetyl-2,4,6-trihydroxy-5-methylbenzyl group at position 6. Isolated from Mallotus philippensis, it exhibits anti-inflammatory activity. It has a role as a metabolite, an anti-inflammatory agent, a histamine antagonist and an EC 1.14.13.39 (nitric oxide synthase) inhibitor. It is a chromenol, a methyl ketone, a polyphenol and an aromatic ketone. It derives from a phloroglucinol.",CCC(C)C(=O)c1c(O)c(Cc2c(O)c(C)c(O)c(C(C)=O)c2O)c(O)c2c1OC(C)(C)C=C2,CC(=O)C(C(=O)[CH]Oc1cc(O)c(O)cc1C(C)=O)=C(C)C(O)=CC(=O)C(C)(C)COCC(=O)C(C)(C)O,True,False,0.6462,0.4579,0.6722,0.4766,0.4615,0.1075,0.6,0.4374
The molecule is a pentacyclic triterpenoid that is oleanane substituted at the 3beta-position by a hydroxy group and containing a double bond between positions 12 and 13. It is one of the most commonly occurring triterpenoids in higher plants. It has a role as a plant metabolite and an Aspergillus metabolite. It is a pentacyclic triterpenoid and a secondary alcohol. It derives from a hydride of an oleanane.,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,CC1=CC[C@@H]2C[C](CC[CH]1)CC1[CH]CC[C]3C[C]4CC[C@@H]5C(C[C@H](O)[C@@H](O)C5(C)C)[C@@]4(C)[CH]CC=C3C1C2,True,False,0.7237,0.5499,0.6362,0.3133,0.5,0.1354,0.8421,0.8077
"The molecule is a pyrroloquinoxaline that is pyrrolo[1,2-a]quinoxaline bearing additional 4-methylpiperazin-1-yl and trifluoromethyl substituents at positions 4 and 7 respectively. A 5-hydroxytryptamine receptor 1B (5-HT1B) full agonist, 10-fold selective over 5-HT1A and 1000-fold selective over 5-HT2C receptors. Centrally active following systemic administration. It has a role as a serotonergic agonist. It is a N-arylpiperazine, an organofluorine compound and a pyrroloquinoxaline.",CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,CCN(c1cccc(C(F)(F)F)n1)c1ccnc(N2CC(C(F)(F)F)C(C)C2CNC(C)(C)F)n1,True,False,0.4474,0.315,0.4474,0.315,0.3333,0.1494,0.6724,0.3768
"The molecule is a bridged compound that is 3,4-xylenol carrying an additional isobornyl substituent at position 6. A lipophilic antibacterial drug mainly used in spray dosage forms for the local treatment of infection and inflammation of the throat. It has a role as an antibacterial drug. It is a member of phenols and a bridged compound. It derives from a hydride of a bornane.",Cc1cc(O)c([C@@H]2C[C@H]3CC[C@]2(C)C3(C)C)cc1C,CC(C)(O)c1ccc2c(c1)OCC1(O)CC(C2)C(C)(C)C1,True,False,0.5142,0.2356,0.5387,0.2532,0.3333,0.1538,0.6098,0.4654
"The molecule is a benzoylurea insecticide, a member of monochlorobenzenes, a member of (trifluoromethyl)benzenes, a member of monofluorobenzenes and a difluorobenzene. It has a role as a mite growth regulator. It derives from a diphenyl ether.",OC(=Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F)N=C(O)c1c(F)cccc1F,OC(=Nc1cccc(C(F)(F)F)c1OC(F)(F)F)c1cccc(F)c1N=C/C(O)=N/c1ccc(F)c(C(F)(F)F)c1,True,False,0.6323,0.4844,0.6263,0.4821,0.5,0.2963,0.8182,0.403
"The molecule is a hydroxyisoflavone that is isoflavone substituted by a hydroxy group at position 2', a methoxy group at position 5 and a methylenedioxy group across positions 6 and 7 respectively. It has a role as a plant metabolite. It is a hydroxyisoflavone and a methoxyisoflavone. It derives from an isoflavone.",COc1c2c(cc3occ(-c4ccccc4O)c(=O)c13)OCO2,COc1cccc(C=CC(=O)C=C(OCO)c2cccc(OOCO)c2)c1,True,False,0.633,0.3662,0.633,0.3662,0.3333,0.1358,0.5556,0.2364
"The molecule is a member of the class of benzotriazoles that is 1H-benzotriazole which is substituted by a 2-oxo-2-{(4-propanamidophenyl)[(thiophen-3-yl)methyl]amino}ethyl group at position 1. It is a 3C-like protease inhibitor of SARS-CoV and bat coronavirus HKU4. It has a role as an EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor and an anticoronaviral agent. It is a member of benzotriazoles, a dicarboxylic acid diamide, a secondary carboxamide, a tertiary carboxamide and a member of thiophenes.",CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,CC(C)NC1=[SH]Sc2ccccc2N(c2ccncn2)C(=S)N1,True,False,0.5191,0.2757,0.5096,0.2713,0.3333,0.117,0.3944,0.3162
