prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is an organic heterotetracyclic compound isolated from the stems of Kadsura matsudai. It has a role as a plant metabolite. It is an organic heterotetracyclic compound, a cyclic ether, a methyl ester, an alpha-ketoester, an enoate ester and a hexanoate ester.",CCCCCC(=O)OC1c2cc3c(c4c2C(C(=O)C(=O)OC)(CO4)/C(=C\C(=O)OC)CC(C)C1C)OCO3,C[C]1C[C@@](C)(CC=C(C)C)CCCC(=O)OC[CH][C@H](O)[C@@H]2CC3C(=O)C1=CC=CC3=C2C[CH][C]CC=O,True,False,0.4807,0.3123,0.5713,0.3728,0.3176,0.1008,0.6429,0.348
"The molecule is an N-glycosyl compound consisting of a heteropolycyclic ring system with a glucosyl group attached to one of the indolic nitrogens. It is an organochlorine compound, an indolocarbazole, a N-glycosyl compound and an organic heterohexacyclic compound.",O=C1N=C(O)c2c1c1c3cccc(Cl)c3n([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1c1[nH]c3c(Cl)cccc3c21,C[C][CH]CN1CN=C2Nc3ccc(Cl)c(c3)C13CC(Cl)=c1c(c(Cl)cc4ccccc14)=CCc1c(cc(Cl)cc13)C2=O,True,False,0.5003,0.2907,0.5334,0.3194,0.2947,0.1322,0.4321,0.6571
"The molecule is a C-glycosyl compound that is 9H-xanthen-9-one substituted by hydroxy groups at positions 1, 3, and 7 and a 1,5-anhydro-D-glucitol moiety at position 1. It has a role as a plant metabolite. It is a member of xanthones, a C-glycosyl compound and a polyphenol.",O=c1c2cc(O)ccc2oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12,C[C@@H](O)[C@H](O)[C@@H](CO)O[CH]C1OC(c2cccc(O)c2O)=C(O)C1=O,True,False,0.6397,0.5214,0.561,0.3977,0.4189,0.1852,0.7045,0.4648
"The molecule is a chromenol that is 2H-chromene-5,7-diol substituted by geminal methyl groups at position 2, a 2-methylbutanoyl group at position 8 and a 3-acetyl-2,4,6-trihydroxy-5-methylbenzyl group at position 6. Isolated from Mallotus philippensis, it exhibits anti-inflammatory activity. It has a role as a metabolite, an anti-inflammatory agent, a histamine antagonist and an EC 1.14.13.39 (nitric oxide synthase) inhibitor. It is a chromenol, a methyl ketone, a polyphenol and an aromatic ketone. It derives from a phloroglucinol.",CCC(C)C(=O)c1c(O)c(Cc2c(O)c(C)c(O)c(C(C)=O)c2O)c(O)c2c1OC(C)(C)C=C2,CC(=O)c1cc(O)c(O)cc1OC(C)(C)C1(C)CC[CH]C(=O)c2ccc(O)c(C)c2C(C(=O)C(C)(C)O)C1,True,False,0.7701,0.6098,0.8019,0.6354,0.5132,0.1458,0.6596,0.4993
The molecule is a pentacyclic triterpenoid that is oleanane substituted at the 3beta-position by a hydroxy group and containing a double bond between positions 12 and 13. It is one of the most commonly occurring triterpenoids in higher plants. It has a role as a plant metabolite and an Aspergillus metabolite. It is a pentacyclic triterpenoid and a secondary alcohol. It derives from a hydride of an oleanane.,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,CCC1=C(C=C2[CH]CC=C3CCC2=C(C)[CH]CC[C@](C)CC[C@]3C)[C]2CCC[C@H](O)C(C)(C)[C@H](CC1)C2,True,False,0.7247,0.5209,0.649,0.4237,0.4778,0.1474,0.8611,0.5459
"The molecule is a pyrroloquinoxaline that is pyrrolo[1,2-a]quinoxaline bearing additional 4-methylpiperazin-1-yl and trifluoromethyl substituents at positions 4 and 7 respectively. A 5-hydroxytryptamine receptor 1B (5-HT1B) full agonist, 10-fold selective over 5-HT1A and 1000-fold selective over 5-HT2C receptors. Centrally active following systemic administration. It has a role as a serotonergic agonist. It is a N-arylpiperazine, an organofluorine compound and a pyrroloquinoxaline.",CN1CCN(c2nc3cc(C(F)(F)F)ccc3n3cccc23)CC1,CCC1CC1N(CCNN1CCC(N(CCNC)CCN(CC)C(F)(F)F)C1)c1ccc(C(F)(F)F)cn1,True,False,0.3963,0.3129,0.3963,0.3129,0.3548,0.1613,0.6406,0.3923
"The molecule is a bridged compound that is 3,4-xylenol carrying an additional isobornyl substituent at position 6. A lipophilic antibacterial drug mainly used in spray dosage forms for the local treatment of infection and inflammation of the throat. It has a role as an antibacterial drug. It is a member of phenols and a bridged compound. It derives from a hydride of a bornane.",Cc1cc(O)c([C@@H]2C[C@H]3CC[C@]2(C)C3(C)C)cc1C,CC1C=C2c3cc(co3)CCCC2(C(C)(C)C)CC1,True,False,0.4099,0.1877,0.5374,0.2527,0.3778,0.1613,0.5263,0.3185
"The molecule is a benzoylurea insecticide, a member of monochlorobenzenes, a member of (trifluoromethyl)benzenes, a member of monofluorobenzenes and a difluorobenzene. It has a role as a mite growth regulator. It derives from a diphenyl ether.",OC(=Nc1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1F)N=C(O)c1c(F)cccc1F,OC(=NC1=CC(Cl)C(C(F)(F)F)=C1)c1ccccc1NN=NC=C(F)C=C(F)C=CC(=CCC(F)(F)F)C(F)(F)F,True,False,0.4395,0.3159,0.432,0.3115,0.3718,0.1386,0.5455,0.3369
"The molecule is a hydroxyisoflavone that is isoflavone substituted by a hydroxy group at position 2', a methoxy group at position 5 and a methylenedioxy group across positions 6 and 7 respectively. It has a role as a plant metabolite. It is a hydroxyisoflavone and a methoxyisoflavone. It derives from an isoflavone.",COc1c2c(cc3occ(-c4ccccc4O)c(=O)c13)OCO2,COC=C1C=CC(C=CC(=O)C=C(C)C2COOOOOc3cccc2c3)=C1,True,False,0.4193,0.1746,0.4193,0.1746,0.1957,0.1319,0.5333,0.256
"The molecule is a member of the class of benzotriazoles that is 1H-benzotriazole which is substituted by a 2-oxo-2-{(4-propanamidophenyl)[(thiophen-3-yl)methyl]amino}ethyl group at position 1. It is a 3C-like protease inhibitor of SARS-CoV and bat coronavirus HKU4. It has a role as an EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor and an anticoronaviral agent. It is a member of benzotriazoles, a dicarboxylic acid diamide, a secondary carboxamide, a tertiary carboxamide and a member of thiophenes.",CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,CC(C)NC(=S)NC(=S)N(Cn1cnnn1)c1cccnc1,True,False,0.4482,0.1894,0.4482,0.1894,0.375,0.1648,0.5469,0.2681
"The molecule is a 3-{2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl}-2-methyl-4-oxo-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-9-yl hexadecanoate that is the (S)-enantiomer of paliperidone palmitate. It is an enantiomer of a (R)-paliperidone palmitate.",CCCCCCCCCCCCCCCC(=O)O[C@H]1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,CCCCCCCCCCCCCCCC(=O)N1CCC2CC1C(=O)C21C=CC=C(F)C(F)=CC2CCC(C(=O)OCCNCCOCC)C1C2,True,False,0.5755,0.4289,0.5698,0.4268,0.3896,0.1938,0.6707,0.373
"The molecule is a member of the class of biindoles that is indirubin substituted at position 6 by a bromo group and in which the keto group at position 3' has undergone condensation with hydroxylamine to form the corresponding oxime. It has a role as an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor and an EC 2.7.11.26 (tau-protein kinase) inhibitor. It is a ketoxime, an organobromine compound, a member of oxindoles and a biindole.",O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,OCC1=CNC=Cc2c1cnc1cc(Br)c(Br)c(Br)c21,True,False,0.4129,0.2259,0.4589,0.2344,0.3333,0.1127,0.4667,0.3696
"The molecule is a hydroxycoumarin that is 2H,8H-benzo[1,2-b:5,4-b']dipyran-2-one substituted by a hydroxy group at position 4, a methoxy group at position 5, 4-methoxyphenyl group at position 3 and two methyl groups at position 8 respectively. It has a role as a plant metabolite and an antiprotozoal drug. It is a hydroxycoumarin and a monomethoxybenzene.",COc1ccc(-c2c(O)c3c(OC)c4c(c(CC=C(C)C)c3oc2=O)OC(C)(C)C=C4)cc1,COC=CC=C1Oc2cc(O)c(O)cc2C(=O)C1C(CC=O)Cc1cc(O)c(OC)o1,True,False,0.6643,0.3513,0.6643,0.3513,0.377,0.1485,0.6875,0.5118
"The molecule is an anilide resulting from the formal condensation of the aryl amino group of 4-(methoxymethyl)-N-phenyl-1-[2-(2-thienyl)ethyl]piperidin-4-amine with propanoic acid. It has a role as an opioid analgesic, a mu-opioid receptor agonist, an anaesthesia adjuvant and an intravenous anaesthetic. It is a member of piperidines, a member of thiophenes, an anilide and an ether.",CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,CCC(=O)CNCCN1CCCN2C=CCC=[SH]c3ccc(cc3)C3C2OCCC3N(Cc2ccccc2)CCNC1=O,True,False,0.4914,0.3204,0.515,0.3361,0.4697,0.1667,0.5443,0.3343
"The molecule is an organic heteropentacyclic compound that is 6H-furo[3,2-c]xanthen-6-one substituted by hydroxy groups at positions 7 and 10 and a 2-methylbut-3-en-2-yl group at position 8. Isolated from the woods of Garcinia subelliptica, it exhibits antioxidant activity. It has a role as a metabolite and an antioxidant. It is a cyclic ether, a cyclic ketone, an organic heterotetracyclic compound and a polyphenol.",C=CC(C)(C)c1cc(O)c2oc3c(ccc4ccoc43)c(=O)c2c1O,CC1(C)OOC2=CC(O)=CC(O)=CC(O)=COC3=C4CC=C5CC=C4C(=O)C=C3OC2(C=CC1=O)C5,True,False,0.2676,0.1358,0.2676,0.1358,0.2609,0.1042,0.5745,0.3747
"The molecule is an amino trisaccharide consisting of alpha-L-fucopyranose, 2-acetamido-2-deoxy-beta-D-glucopyranose and 2-acetamido-2-deoxy-D-galactopyranose residues joined in sequence by (1->3) and (1->6) glycosidic bonds. It is an amino trisaccharide, a member of acetamides and a glucosamine oligosaccharide. It derives from a beta-D-GlcpNAc-(1->6)-D-GalpNAc and an alpha-L-Fucp-(1->3)-beta-D-GlcpNAc.",CC(O)=N[C@H]1[C@H](OC[C@H]2OC(O)[C@H](N=C(C)O)[C@@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,CC(O)=N[C@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)O[C@@H](C)[C@@H](C)[C@@H](O)[C@@H](O)[C@H]1O,True,False,0.8457,0.7967,0.804,0.6377,0.7483,0.5763,0.9583,0.7829
"The molecule is an organosulfonate oxoanion resulting from the removal of a proton from both of the sulfo groups of 7-hydroxy-8-[(naphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonic acid. It is a conjugate base of a 7-hydroxy-8-[(naphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonic acid.",O=S(=O)([O-])c1cc(S(=O)(=O)O)c2c(N=Nc3cccc4ccccc34)c([O-])ccc2c1,O=CC(=CC=CS(=O)(=O)[O-])NC=Nc1c2cccc1-c1ccccc1C=C2S(=O)(=O)O,True,False,0.6218,0.4453,0.62,0.4378,0.3125,0.1951,0.6935,0.3015
